asset_id,file_name,asset_type,intended_use,appears_in,placeholder_path,final_style,nanobanana_prompt,suno_prompt,notes
review_bg,review_bg.svg,image,Review/results backdrop,main/review/event screens,assets/placeholders/backgrounds/review_bg.svg,Semi-realistic NSW project office scene,See docs/image_prompts.md#background-scenes,,
route_board_base,route_board_base.svg,image,Sydney to Wollongong route board and progress overlay,planning screen,assets/placeholders/maps/route_board_base.svg,GIS-style transport map board,See docs/image_prompts.md#route-map-and-overlays,,Red-highlight route progression
route_progress_overlay_q1,route_progress_overlay_q1.svg,image,Sydney to Wollongong route board and progress overlay,planning screen,assets/placeholders/maps/route_progress_overlay_q1.svg,GIS-style transport map board,See docs/image_prompts.md#route-map-and-overlays,,Red-highlight route progression
route_progress_overlay_q2,route_progress_overlay_q2.svg,image,Sydney to Wollongong route board and progress overlay,planning screen,assets/placeholders/maps/route_progress_overlay_q2.svg,GIS-style transport map board,See docs/image_prompts.md#route-map-and-overlays,,Red-highlight route progression
route_progress_overlay_q3,route_progress_overlay_q3.svg,image,Sydney to Wollongong route board and progress overlay,planning screen,assets/placeholders/maps/route_progress_overlay_q3.svg,GIS-style transport map board,See docs/image_prompts.md#route-map-and-overlays,,Red-highlight route progression
route_progress_overlay_q4,route_progress_overlay_q4.svg,image,Sydney to Wollongong route board and progress overlay,planning screen,assets/placeholders/maps/route_progress_overlay_q4.svg,GIS-style transport map board,See docs/image_prompts.md#route-map-and-overlays,,Red-highlight route progression
icon_budget,icon_budget.svg,image,UI icon set,planning/event HUD,assets/placeholders/icons/icon_budget.svg,Flat professional iconography,See docs/image_prompts.md#icons,,
icon_warning,icon_warning.svg,image,UI icon set,planning/event HUD,assets/placeholders/icons/icon_warning.svg,Flat professional iconography,See docs/image_prompts.md#icons,,
icon_team,icon_team.svg,image,UI icon set,planning/event HUD,assets/placeholders/icons/icon_team.svg,Flat professional iconography,See docs/image_prompts.md#icons,,
icon_critical,icon_critical.svg,image,UI icon set,planning/event HUD,assets/placeholders/icons/icon_critical.svg,Flat professional iconography,See docs/image_prompts.md#icons,,
icon_event,icon_event.svg,image,UI icon set,planning/event HUD,assets/placeholders/icons/icon_event.svg,Flat professional iconography,See docs/image_prompts.md#icons,,
bgm_main_menu,bgm_main_menu.txt,audio,Main menu BGM,all screens,assets/placeholders/audio/bgm_main_menu.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
bgm_planning,bgm_planning.txt,audio,Planning phase BGM,all screens,assets/placeholders/audio/bgm_planning.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
bgm_execution,bgm_execution.txt,audio,Execution phase BGM,all screens,assets/placeholders/audio/bgm_execution.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
bgm_event_tension,bgm_event_tension.txt,audio,Event tension BGM,all screens,assets/placeholders/audio/bgm_event_tension.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
bgm_review_results,bgm_review_results.txt,audio,Review/results BGM,all screens,assets/placeholders/audio/bgm_review_results.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
ui_click,ui_click.txt,audio,UI click SFX,all screens,assets/placeholders/audio/ui_click.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
ui_warning,ui_warning.txt,audio,UI warning SFX,all screens,assets/placeholders/audio/ui_warning.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
ui_success,ui_success.txt,audio,UI success SFX,all screens,assets/placeholders/audio/ui_success.txt,Cinematic educational simulation audio,,See docs/audio_prompts.md,Placeholder text file only
